 3.75000000e+02 3.75000000e+02 0.00000000e+00
 3.74625000e+02 3.56250000e+02 1.91250000e+01
 3.74250375e+02 3.39585000e+02 3.61646250e+01
 3.73876125e+02 3.24775627e+02 5.13482479e+01
 3.73502249e+02 3.11617741e+02 6.48800105e+01
 3.73128746e+02 2.99929655e+02 7.69415992e+01
 3.72755618e+02 2.89549668e+02 8.76947147e+01
 3.72382862e+02 2.80333867e+02 9.72832708e+01
 3.72010479e+02 2.72154170e+02 1.05835351e+02
 3.71638469e+02 2.64896583e+02 1.13464949e+02
 3.71266830e+02 2.58459651e+02 1.20273519e+02
 3.70895563e+02 2.52753079e+02 1.26351358e+02
 3.70524668e+02 2.47696507e+02 1.31778826e+02
 3.70154143e+02 2.43218411e+02 1.36627446e+02
 3.69783989e+02 2.39255137e+02 1.40960874e+02
 3.69414205e+02 2.35750033e+02 1.44835762e+02
 3.69044791e+02 2.32652677e+02 1.48302533e+02
 3.68675746e+02 2.29918195e+02 1.51406059e+02
 3.68307070e+02 2.27506649e+02 1.54186281e+02
 3.67938763e+02 2.25382493e+02 1.56678744e+02
 3.67570824e+02 2.23514093e+02 1.58915083e+02
 3.67203253e+02 2.21873293e+02 1.60923453e+02
 3.66836050e+02 2.20435036e+02 1.62728914e+02
 3.66469214e+02 2.19177019e+02 1.64353767e+02
 3.66102745e+02 2.18079394e+02 1.65817861e+02
 3.65736642e+02 2.17124496e+02 1.67138862e+02
 3.65370906e+02 2.16296603e+02 1.68332492e+02
 3.65005535e+02 2.15581722e+02 1.69412743e+02
 3.64640529e+02 2.14967401e+02 1.70392070e+02
 3.64275889e+02 2.14442555e+02 1.71281557e+02
 3.63911613e+02 2.13997321e+02 1.72091067e+02
 3.63547701e+02 2.13622919e+02 1.72829380e+02
 3.63184153e+02 2.13311535e+02 1.73504311e+02
 3.62820969e+02 2.13056217e+02 1.74122813e+02
 3.62458148e+02 2.12850775e+02 1.74691076e+02
 3.62095690e+02 2.12689701e+02 1.75214609e+02
 3.61733594e+02 2.12568093e+02 1.75698313e+02
 3.61371861e+02 2.12481587e+02 1.76146552e+02
 3.61010489e+02 2.12426301e+02 1.76563210e+02
 3.60649479e+02 2.12398778e+02 1.76951743e+02
 3.60288829e+02 2.12395944e+02 1.77315227e+02
 3.59928540e+02 2.12415060e+02 1.77656400e+02
 3.59568612e+02 2.12453691e+02 1.77977697e+02
 3.59209043e+02 2.12509668e+02 1.78281288e+02
 3.58849834e+02 2.12581062e+02 1.78569104e+02
 3.58490984e+02 2.12666155e+02 1.78842860e+02
 3.58132493e+02 2.12763419e+02 1.79104088e+02
 3.57774361e+02 2.12871494e+02 1.79354146e+02
 3.57416586e+02 2.12989168e+02 1.79594246e+02
